"Date","Total Death","State of Lockdown"
"April 5","9622","1"
"April 4","8457","1"
"April 3","7127","1"
"April 2","6081","1"
"April 1","5107","1"
"March 31","4057","1"
"March 30","3143","1"
"March 29","2585","1"
"March 28","2222","1"
"March 27","1697","1"
"March 26","1296","1"
"March 25","1028","1"
"March 24","781","1"
"March 23","556","1"
"March 22","414","1"
"March 21","301","1"
"March 20","255","1"
"March 19","206","1"
"March 18","150","1"
"March 17","110","1"
"March 16","87","1"
"March 15","69","1"
"March 14","57","1"
"March 13","48","1"

